2025-07-07 15:26:17,439 - INFO - Token: <DUPONT, ::, Linha 65, Coluna 10>
2025-07-07 15:26:17,439 - INFO - Token: <STRING, "Multiplicação:", Linha 65, Coluna 13>
2025-07-07 15:26:17,440 - INFO - Token: <VIRG, ,, Linha 65, Coluna 29>
2025-07-07 15:26:17,440 - INFO - Token: <VAR, multiplicacao, Linha 65, Coluna 31>
2025-07-07 15:26:17,441 - INFO - Token: <PRINT, print, Linha 66, Coluna 4>
2025-07-07 15:26:17,441 - INFO - Token: <DUPONT, ::, Linha 66, Coluna 10>
2025-07-07 15:26:17,442 - INFO - Token: <STRING, "Divisão:", Linha 66, Coluna 13>
2025-07-07 15:26:17,443 - INFO - Token: <VIRG, ,, Linha 66, Coluna 23>
2025-07-07 15:26:17,443 - INFO - Token: <VAR, divisao, Linha 66, Coluna 25>
2025-07-07 15:26:17,443 - INFO - Token: <LET, let, Linha 69, Coluna 4>
2025-07-07 15:26:17,444 - INFO - Token: <VAR, resultado, Linha 69, Coluna 8>
2025-07-07 15:26:17,444 - INFO - Token: <POINT2, :, Linha 69, Coluna 17>
2025-07-07 15:26:17,444 - INFO - Token: <INT_TYPE, int, Linha 69, Coluna 19>
2025-07-07 15:26:17,444 - INFO - Token: <EQUALS, =, Linha 69, Coluna 23>
2025-07-07 15:26:17,445 - INFO - Token: <VAR, a, Linha 69, Coluna 25>
2025-07-07 15:26:17,445 - INFO - Token: <ADD, +, Linha 69, Coluna 27>
2025-07-07 15:26:17,445 - INFO - Token: <VAR, b, Linha 69, Coluna 29>
2025-07-07 15:26:17,445 - INFO - Token: <MUL, *, Linha 69, Coluna 31>
2025-07-07 15:26:17,446 - INFO - Token: <INT, 2, Linha 69, Coluna 33>
2025-07-07 15:26:17,446 - INFO - Token: <SUB, -, Linha 69, Coluna 35>
2025-07-07 15:26:17,446 - INFO - Token: <INT, 1, Linha 69, Coluna 37>
2025-07-07 15:26:17,446 - INFO - Token: <LET, let, Linha 70, Coluna 4>
2025-07-07 15:26:17,446 - INFO - Token: <VAR, complexo, Linha 70, Coluna 8>
2025-07-07 15:26:17,447 - INFO - Token: <POINT2, :, Linha 70, Coluna 16>
2025-07-07 15:26:17,447 - INFO - Token: <INT_TYPE, int, Linha 70, Coluna 18>
2025-07-07 15:26:17,447 - INFO - Token: <EQUALS, =, Linha 70, Coluna 22>
2025-07-07 15:26:17,447 - INFO - Token: <P_N, (, Linha 70, Coluna 24>
2025-07-07 15:26:17,448 - INFO - Token: <VAR, a, Linha 70, Coluna 25>
2025-07-07 15:26:17,448 - INFO - Token: <ADD, +, Linha 70, Coluna 27>
2025-07-07 15:26:17,449 - INFO - Token: <VAR, b, Linha 70, Coluna 29>
2025-07-07 15:26:17,449 - INFO - Token: <P_I, ), Linha 70, Coluna 30>
2025-07-07 15:26:17,450 - INFO - Token: <MUL, *, Linha 70, Coluna 32>
2025-07-07 15:26:17,450 - INFO - Token: <INT, 2, Linha 70, Coluna 34>
2025-07-07 15:26:17,450 - INFO - Token: <PRINT, print, Linha 72, Coluna 4>
2025-07-07 15:26:17,451 - INFO - Token: <DUPONT, ::, Linha 72, Coluna 10>
2025-07-07 15:26:17,451 - INFO - Token: <STRING, "Resultado complexo:", Linha 72, Coluna 13>
2025-07-07 15:26:17,451 - INFO - Token: <VIRG, ,, Linha 72, Coluna 34>
2025-07-07 15:26:17,451 - INFO - Token: <VAR, resultado, Linha 72, Coluna 36>
2025-07-07 15:26:17,451 - INFO - Token: <PRINT, print, Linha 73, Coluna 4>
2025-07-07 15:26:17,452 - INFO - Token: <DUPONT, ::, Linha 73, Coluna 10>
2025-07-07 15:26:17,452 - INFO - Token: <STRING, "Com parênteses:", Linha 73, Coluna 13>
2025-07-07 15:26:17,452 - INFO - Token: <VIRG, ,, Linha 73, Coluna 30>
2025-07-07 15:26:17,452 - INFO - Token: <VAR, complexo, Linha 73, Coluna 32>
2025-07-07 15:26:17,453 - INFO - Token: <LET, let, Linha 79, Coluna 4>
2025-07-07 15:26:17,453 - INFO - Token: <VAR, igual, Linha 79, Coluna 8>
2025-07-07 15:26:17,453 - INFO - Token: <POINT2, :, Linha 79, Coluna 13>
2025-07-07 15:26:17,453 - INFO - Token: <INT_TYPE, int, Linha 79, Coluna 15>
2025-07-07 15:26:17,453 - INFO - Token: <EQUALS, =, Linha 79, Coluna 19>
2025-07-07 15:26:17,454 - INFO - Token: <VAR, a, Linha 79, Coluna 21>
2025-07-07 15:26:17,454 - INFO - Token: <EQ, ==, Linha 79, Coluna 23>
2025-07-07 15:26:17,455 - INFO - Token: <VAR, b, Linha 79, Coluna 26>
2025-07-07 15:26:17,455 - INFO - Token: <LET, let, Linha 80, Coluna 4>
2025-07-07 15:26:17,455 - INFO - Token: <VAR, diferente, Linha 80, Coluna 8>
2025-07-07 15:26:17,456 - INFO - Token: <POINT2, :, Linha 80, Coluna 17>
2025-07-07 15:26:17,456 - INFO - Token: <INT_TYPE, int, Linha 80, Coluna 19>
2025-07-07 15:26:17,456 - INFO - Token: <EQUALS, =, Linha 80, Coluna 23>
2025-07-07 15:26:17,457 - INFO - Token: <VAR, a, Linha 80, Coluna 25>
2025-07-07 15:26:17,457 - INFO - Token: <NEQ, !=, Linha 80, Coluna 27>
2025-07-07 15:26:17,458 - INFO - Token: <VAR, b, Linha 80, Coluna 30>
2025-07-07 15:26:17,458 - INFO - Token: <LET, let, Linha 81, Coluna 4>
2025-07-07 15:26:17,458 - INFO - Token: <VAR, menor, Linha 81, Coluna 8>
2025-07-07 15:26:17,458 - INFO - Token: <POINT2, :, Linha 81, Coluna 13>
2025-07-07 15:26:17,458 - INFO - Token: <INT_TYPE, int, Linha 81, Coluna 15>
2025-07-07 15:26:17,459 - INFO - Token: <EQUALS, =, Linha 81, Coluna 19>
2025-07-07 15:26:17,459 - INFO - Token: <VAR, a, Linha 81, Coluna 21>
2025-07-07 15:26:17,459 - INFO - Token: <LT, <, Linha 81, Coluna 23>
2025-07-07 15:26:17,460 - INFO - Token: <VAR, b, Linha 81, Coluna 25>
2025-07-07 15:26:17,460 - INFO - Token: <LET, let, Linha 82, Coluna 4>
2025-07-07 15:26:17,460 - INFO - Token: <VAR, maior, Linha 82, Coluna 8>
2025-07-07 15:26:17,460 - INFO - Token: <POINT2, :, Linha 82, Coluna 13>
2025-07-07 15:26:17,461 - INFO - Token: <INT_TYPE, int, Linha 82, Coluna 15>
2025-07-07 15:26:17,461 - INFO - Token: <EQUALS, =, Linha 82, Coluna 19>
2025-07-07 15:26:17,461 - INFO - Token: <VAR, a, Linha 82, Coluna 21>
